Ticker ,Date,# Orders,Order Qty,"Executed
Qty",Executed Value ,Average Order Qty,Spread Cost (Bps),"Open
 Price","Arrival
 Mid
 Price","Close
 Price","Fill 
Rate"
A.N,20160530,35,25842,25211,1090251,738,2.94,46.42,-2.39,2.24,0.98
AA.N,20160530,15,47644,47644,463331,3176,10.04,-190.47,-1.04,-16.08,1.00
AAL.OQ,20160530,34,156686,156686,5103126,4608,8.76,-82.44,-4.5,9.67,1.00
AAN.N,20160530,6,4578,4578,112654,763,8.77,-0.74,-4.63,11.01,1.00
AAOI.OQ,20160530,28,3457,3457,33094,123,84.87,114.30,-13.03,-32.76,1.00
AAON.OQ,20160530,2,108,108,2780,54,23.17,148.59,-2.56,-35.76,1.00
AAP.N,20160530,22,17683,17683,2647940,804,9.05,-73.15,-0.61,-5.64,1.00
AAPL.OQ,20160530,34,89672,89672,8402259,2637,1.12,-53.12,-4.6,10.74,1.00
AAWW.OQ,20160530,2,913,913,35272,457,30.53,-66.00,-5.92,81.77,1.00
AB.N,20160530,5,9138,9138,209278,1828,19.95,21.17,0.48,-16.83,1.00
ABAX.OQ,20160530,6,2311,2311,105090,385,30.27,118.85,-6.01,-8.67,1.00
ABB.N,20160530,4,7638,7638,155079,1910,4.85,71.13,-2.11,0.54,1.00
ABBV.N,20160530,38,122549,122126,7482749,3225,2.10,104.50,-1.31,2.76,1.00
ABC.N,20160530,36,110875,110065,8343865,3080,2.40,99.98,-3.58,-4.52,0.99
ABCO.OQ,20160530,9,6301,6301,195353,700,16.11,114.33,7.17,1.14,1.00
ABDC.OQ,20160530,2,1885,1885,22164,943,147.62,-94.36,11.07,-69.26,1.00
ABEV.N,20160530,2,24946,9000,48999,12473,25.91,63.51,-1.17,-10.35,0.36
ABG.N,20160530,4,2195,2195,118546,549,24.09,-127.22,0.15,-14.32,1.00
ABMD.OQ,20160530,23,63293,63293,6061789,2752,14.70,191.40,-1.49,-13.94,1.00
ABR.N,20160530,1,268,268,1811,268,27.12,-209.97,-5.92,-13.33,1.00
ABT.N,20160530,33,146689,145953,5574003,4445,2.66,82.69,-0.93,0.43,1.00
ABTL.OQ,20160530,1,1529,1529,24585,1529,37.16,-536.80,74.59,-62.05,1.00
ABX.N,20160530,19,131891,131891,2374636,6942,5.59,-180.37,-7.1,21.51,1.00
ABY.OQ,20160530,11,8362,8362,142777,760,53.43,-284.91,-1.25,16.16,1.00
ACAD.OQ,20160530,28,17824,17824,532421,637,13.86,302.61,-0.27,-80.24,1.00
ACAS.OQ,20160530,10,6581,6581,105090,658,6.75,18.72,0.32,-16.32,1.00
ACAT.OQ,20160530,7,13892,8992,129044,1985,37.46,-74.10,-34.15,-21.62,0.65
ACC.N,20160530,13,12389,12389,583969,953,4.84,99.85,-2.55,-8.02,1.00
ACET.OQ,20160530,1,1012,1012,21689,1012,23.39,397.73,-22.1,-47.95,1.00
ACHC.OQ,20160530,7,6912,6912,396949,987,14.39,205.09,-7.72,-19.84,1.00
ACIW.OQ,20160530,3,2240,2240,44310,747,13.43,92.92,-8.98,-57.4,1.00
ACM.N,20160530,26,75334,75334,2413941,2897,6.45,69.71,-4.91,-3.09,1.00
ACN.N,20160530,15,14574,14574,1705182,972,2.42,121.69,-2.61,0.77,1.00
ACRE.N,20160530,1,7001,7001,82778,7001,30.88,71.36,-13.7,-30.54,1.00
ACTA.OQ,20160530,2,91,91,850,46,58.43,-12.16,-15.99,-120.63,1.00
ACTG.OQ,20160530,27,2385,2385,11032,88,32.04,-125.87,-5.71,-57.06,1.00
ACXM.OQ,20160530,8,15317,15317,318082,1915,10.07,294.74,-2.16,-14.82,1.00
ADBE.OQ,20160530,42,77516,77139,7419885,1846,3.89,-104.50,-1.52,3.54,1.00
ADI.OQ,20160530,20,17017,16193,907232,851,3.19,-8.84,1.51,2.66,0.95
ADM.N,20160530,23,140153,140153,5755121,6094,2.96,129.35,-2.47,3.65,1.00
ADP.OQ,20160530,41,46633,46509,4055352,1137,2.85,72.61,0.45,-4.94,1.00
ADS.N,20160530,19,31601,31601,6676244,1663,11.30,-188.68,-6.02,13.07,1.00
ADSK.OQ,20160530,32,209271,207874,12147941,6540,4.33,-174.93,-5.89,-7.53,0.99
ADXS.OQ,20160530,2,1400,1400,12126,700,99.84,531.13,27.29,35.49,1.00
AEE.N,20160530,34,15815,15606,746901,465,3.46,-28.08,0.07,-19.19,0.99
